"config_id","gamma","delta0_centers","Ktot","K1","K2","K3","acc_center1_percent","acc_center2_percent","acc_center3_percent"
1,0.001,0.001,30.046,10.015,10.015,10.017,3.06,3.34,3.08
2,0.01,0.001,30.534,10.174,10.179,10.182,3.36,3.44,3.68
3,0.1,0.001,36.384,12.267,11.785,12.332,2.38,2.3,2.2
4,1,0.001,71.038,23.302,22.736,25,0.3,0.46,0.2
5,10,0.001,233.031,73.121,80.863,79.047,0,0,0
6,0.001,0.1,30.05,10.021,10.011,10.017,3.64,3.38,3.18
7,0.01,0.1,30.546,10.175,10.126,10.245,3.12,3.32,3.28
8,0.1,0.1,35.873,12.101,11.503,12.27,2.2,2.26,1.9
9,1,0.1,72.999,23.776,24.189,25.034,0.2,0.3,0.16
10,10,0.1,227.686,69.045,79.711,78.93,0,0,0
11,0.001,1,30.05,10.016,10.011,10.023,3.12,2.84,2.66
12,0.01,1,30.52,10.157,10.154,10.208,2.7,3.32,2.74
13,0.1,1,35.613,11.902,11.736,11.975,2.06,2.02,1.88
14,1,1,73.468,23.85,25.652,23.965,0.16,0.04,0.2
15,10,1,228.761,69.531,79.842,79.388,0,0,0
16,0.001,10,30.054,10.018,10.019,10.017,0.6,0.62,0.5
17,0.01,10,30.481,10.186,10.125,10.169,0.62,0.82,0.7
18,0.1,10,35.647,11.976,11.496,12.175,0.34,0.46,0.42
19,1,10,71.198,22.981,23.366,24.851,0.12,0.08,0.02
20,10,10,228.857,69.94,79.983,78.933,0,0,0
