"config_id","gamma","delta0_centers","Ktot","K1","K2","K3","K4","K5","K6","K7","acc_center1_percent","acc_center2_percent","acc_center3_percent","acc_center4_percent","acc_center5_percent","acc_center6_percent","acc_center7_percent"
1,0.001,0.001,70.177,10.025,10.025,10.03,10.019,10.021,10.031,10.025,3.26,3.6,2.9,3.52,3.68,2.88,3.22
2,0.01,0.001,71.716,10.244,10.273,10.268,10.202,10.241,10.278,10.21,3.44,2.92,3.1,2.96,2.78,2.84,3.06
3,0.1,0.001,88.673,12.419,13.306,12.814,12.175,12.572,12.825,12.562,2.2,1.88,2.26,2.22,1.94,1.98,1.96
4,0.001,0.1,70.174,10.023,10.027,10.028,10.022,10.032,10.021,10.02,3.28,2.96,2.86,2.88,3.32,3.2,2.98
5,0.01,0.1,71.748,10.291,10.229,10.292,10.234,10.238,10.21,10.253,3.06,3.22,3.48,2.88,2.96,3.06,3.08
6,0.1,0.1,88.614,12.949,13.172,12.488,12.336,12.68,12.697,12.292,2.1,1.46,1.82,2.02,1.84,1.5,2.26
7,0.001,1,70.175,10.026,10.021,10.029,10.022,10.024,10.028,10.025,2.68,2.72,2.88,3.12,2.74,2.54,2.94
8,0.01,1,71.757,10.249,10.254,10.249,10.252,10.236,10.25,10.267,2.52,2.44,2.9,2.62,2.56,2.66,2.94
9,0.1,1,88.82,12.739,12.93,12.819,12.694,12.374,12.377,12.886,1.62,1.72,1.38,1.72,1.76,1.84,1.52
10,0.001,10,70.179,10.022,10.026,10.029,10.024,10.028,10.028,10.023,0.64,0.6,0.52,0.46,0.62,0.6,0.58
11,0.01,10,71.712,10.253,10.279,10.224,10.23,10.223,10.255,10.247,0.54,0.46,0.64,0.48,0.74,0.54,0.66
12,0.1,10,88.44,12.39,12.896,12.686,12.438,12.382,13.317,12.33,0.54,0.5,0.46,0.26,0.46,0.36,0.38
