"delta","beta0","gamma0","sigma0","config_id","tag","pdf_file","log_file","status","error_message"
1e-04,0.01,0.01,0.1,1,"cfg001_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg001_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg001_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_1em01.log","success",NA
1,0.01,0.01,0.1,2,"cfg002_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg002_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg002_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_1em01.log","success",NA
1e-04,0.1,0.01,0.1,3,"cfg003_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg003_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg003_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_1em01.log","success",NA
1,0.1,0.01,0.1,4,"cfg004_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg004_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg004_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_1em01.log","success",NA
1e-04,1,0.01,0.1,5,"cfg005_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg005_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg005_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_1em01.log","success",NA
1,1,0.01,0.1,6,"cfg006_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg006_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg006_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_1em01.log","success",NA
1e-04,0.01,0.1,0.1,7,"cfg007_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg007_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg007_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_1em01.log","failed","Error in Lambda: column values must sum to 1"
1,0.01,0.1,0.1,8,"cfg008_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg008_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg008_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_1em01.log","success",NA
1e-04,0.1,0.1,0.1,9,"cfg009_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg009_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg009_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_1em01.log","failed","Error in Lambda: column values must sum to 1"
1,0.1,0.1,0.1,10,"cfg010_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg010_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg010_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_1em01.log","success",NA
1e-04,1,0.1,0.1,11,"cfg011_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg011_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg011_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_1em01.log","success",NA
1,1,0.1,0.1,12,"cfg012_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_1em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg012_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_1em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg012_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_1em01.log","success",NA
1e-04,0.01,0.01,0.5,13,"cfg013_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg013_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg013_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_5em01.log","success",NA
1,0.01,0.01,0.5,14,"cfg014_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg014_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg014_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_5em01.log","success",NA
1e-04,0.1,0.01,0.5,15,"cfg015_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg015_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg015_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_5em01.log","success",NA
1,0.1,0.01,0.5,16,"cfg016_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg016_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg016_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_5em01.log","success",NA
1e-04,1,0.01,0.5,17,"cfg017_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg017_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg017_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_5em01.log","success",NA
1,1,0.01,0.5,18,"cfg018_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg018_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg018_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_5em01.log","success",NA
1e-04,0.01,0.1,0.5,19,"cfg019_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg019_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg019_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_5em01.log","success",NA
1,0.01,0.1,0.5,20,"cfg020_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg020_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg020_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_5em01.log","success",NA
1e-04,0.1,0.1,0.5,21,"cfg021_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg021_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg021_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_5em01.log","success",NA
1,0.1,0.1,0.5,22,"cfg022_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg022_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg022_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_5em01.log","success",NA
1e-04,1,0.1,0.5,23,"cfg023_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg023_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg023_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_5em01.log","success",NA
1,1,0.1,0.5,24,"cfg024_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_5em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg024_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_5em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg024_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_5em01.log","success",NA
1e-04,0.01,0.01,0.9,25,"cfg025_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg025_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg025_r10_delta_1em04_beta0_1em02_gamma0_1em02_sigma0_9em01.log","success",NA
1,0.01,0.01,0.9,26,"cfg026_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg026_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg026_r10_delta_1e00_beta0_1em02_gamma0_1em02_sigma0_9em01.log","success",NA
1e-04,0.1,0.01,0.9,27,"cfg027_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg027_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg027_r10_delta_1em04_beta0_1em01_gamma0_1em02_sigma0_9em01.log","failed","Error in Lambda0: column values must sum to 1"
1,0.1,0.01,0.9,28,"cfg028_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg028_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg028_r10_delta_1e00_beta0_1em01_gamma0_1em02_sigma0_9em01.log","success",NA
1e-04,1,0.01,0.9,29,"cfg029_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg029_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg029_r10_delta_1em04_beta0_1e00_gamma0_1em02_sigma0_9em01.log","success",NA
1,1,0.01,0.9,30,"cfg030_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg030_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg030_r10_delta_1e00_beta0_1e00_gamma0_1em02_sigma0_9em01.log","success",NA
1e-04,0.01,0.1,0.9,31,"cfg031_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg031_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg031_r10_delta_1em04_beta0_1em02_gamma0_1em01_sigma0_9em01.log","success",NA
1,0.01,0.1,0.9,32,"cfg032_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg032_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg032_r10_delta_1e00_beta0_1em02_gamma0_1em01_sigma0_9em01.log","success",NA
1e-04,0.1,0.1,0.9,33,"cfg033_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg033_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg033_r10_delta_1em04_beta0_1em01_gamma0_1em01_sigma0_9em01.log","success",NA
1,0.1,0.1,0.9,34,"cfg034_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg034_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg034_r10_delta_1e00_beta0_1em01_gamma0_1em01_sigma0_9em01.log","success",NA
1e-04,1,0.1,0.9,35,"cfg035_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg035_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg035_r10_delta_1em04_beta0_1e00_gamma0_1em01_sigma0_9em01.log","success",NA
1,1,0.1,0.9,36,"cfg036_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_9em01","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/cfg036_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_9em01.pdf","/home/colombi/DynamicFeatureAllocation/Scripts/SpeechDataset/img/parallel/log/cfg036_r10_delta_1e00_beta0_1e00_gamma0_1em01_sigma0_9em01.log","success",NA
