"","x"
"1","1789-Washington"
"2","1793-Washington"
"3","1797-Adams"
"4","1801-Jefferson"
"5","1805-Jefferson"
"6","1809-Madison"
"7","1813-Madison"
"8","1817-Monroe"
"9","1821-Monroe"
"10","1825-Adams"
"11","1829-Jackson"
"12","1833-Jackson"
"13","1837-VanBuren"
"14","1841-Harrison"
"15","1845-Polk"
"16","1849-Taylor"
"17","1853-Pierce"
"18","1857-Buchanan"
"19","1861-Lincoln"
"20","1865-Lincoln"
"21","1869-Grant"
"22","1873-Grant"
"23","1877-Hayes"
"24","1881-Garfield"
"25","1885-Cleveland"
"26","1889-Harrison"
"27","1893-Cleveland"
"28","1897-McKinley"
"29","1901-McKinley"
"30","1905-Roosevelt"
"31","1909-Taft"
"32","1913-Wilson"
"33","1917-Wilson"
"34","1921-Harding"
"35","1925-Coolidge"
"36","1929-Hoover"
"37","1933-Roosevelt"
"38","1937-Roosevelt"
"39","1941-Roosevelt"
"40","1945-Roosevelt"
"41","1949-Truman"
"42","1953-Eisenhower"
"43","1957-Eisenhower"
"44","1961-Kennedy"
"45","1965-Johnson"
"46","1969-Nixon"
"47","1973-Nixon"
"48","1977-Carter"
"49","1981-Reagan"
"50","1985-Reagan"
"51","1989-Bush"
"52","1993-Clinton"
"53","1997-Clinton"
"54","2001-Bush"
"55","2005-Bush"
"56","2009-Obama"
"57","2013-Obama"
"58","2017-Trump"
"59","2021-Biden"
"60","2025-Trump"
