"1789-Washington" "1793-Washington" "1797-Adams" "1801-Jefferson" "1805-Jefferson" "1809-Madison" "1813-Madison" "1817-Monroe" "1821-Monroe" "1825-Adams" "1829-Jackson" "1833-Jackson" "1837-VanBuren" "1841-Harrison" "1845-Polk" "1849-Taylor" "1853-Pierce" "1857-Buchanan" "1861-Lincoln" "1865-Lincoln" "1869-Grant" "1873-Grant" "1877-Hayes" "1881-Garfield" "1885-Cleveland" "1889-Harrison" "1893-Cleveland" "1897-McKinley" "1901-McKinley" "1905-Roosevelt" "1909-Taft" "1913-Wilson" "1917-Wilson" "1921-Harding" "1925-Coolidge" "1929-Hoover" "1933-Roosevelt" "1937-Roosevelt" "1941-Roosevelt" "1945-Roosevelt" "1949-Truman" "1953-Eisenhower" "1957-Eisenhower" "1961-Kennedy" "1965-Johnson" "1969-Nixon" "1973-Nixon" "1977-Carter" "1981-Reagan" "1985-Reagan" "1989-Bush" "1993-Clinton" "1997-Clinton" "2001-Bush" "2005-Bush" "2009-Obama" "2013-Obama" "2017-Trump" "2021-Biden" "2025-Trump"
"can" 1 0 3 2 0 1 1 5 1 0 0 0 0 11 1 1 0 2 1 0 0 1 0 2 1 1 0 1 2 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"everi" 1 0 1 0 0 0 0 0 0 0 0 0 0 5 0 1 0 0 0 0 0 0 1 0 0 1 0 3 0 0 0 1 0 0 0 0 0 0 0 0 1 0 0 0 0 1 1 0 2 4 3 0 0 0 0 0 0 0 0 1
"govern" 2 0 3 0 0 0 0 0 0 0 0 0 0 4 0 0 0 0 0 0 0 0 0 0 0 1 0 2 0 0 0 1 1 0 0 0 1 0 1 0 1 0 0 1 0 1 1 0 0 0 2 0 0 0 0 0 0 0 0 1
"public" 2 0 3 1 0 1 0 1 2 2 0 1 1 5 0 0 0 0 0 0 0 2 1 0 0 1 1 1 1 0 0 1 0 4 9 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 1 0 0 0
"may" 1 0 4 1 7 0 1 3 1 3 1 1 3 3 6 1 0 2 6 1 1 0 1 1 2 4 2 3 2 1 9 0 0 3 3 4 0 5 0 0 2 3 1 0 3 1 1 2 4 2 0 1 0 0 1 0 1 0 0 0
"present" 1 0 0 0 0 1 0 0 0 1 1 0 1 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"countri" 1 0 0 0 0 0 0 2 0 0 0 0 0 0 2 0 1 0 0 0 0 0 0 0 0 2 1 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0 0
"duti" 1 0 2 1 2 1 1 1 2 1 0 1 1 1 3 0 0 0 0 0 0 0 0 2 3 2 4 1 3 6 2 8 6 4 5 4 2 3 9 2 5 7 2 3 1 5 1 2 2 2 4 2 3 3 4 3 4 2 1 3
"one" 2 0 0 0 1 0 0 4 4 1 0 3 4 0 0 0 0 4 2 0 0 3 1 0 0 1 0 2 2 0 0 0 1 0 0 0 2 0 0 0 2 2 0 0 0 0 0 0 0 0 0 0 0 0 2 0 0 0 0 1
"hand" 1 0 0 0 0 1 0 0 0 0 0 0 1 1 2 1 1 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 0 1 0 0 0 0 0 0 0 0 0 0 0 0 0 2 1 0 0 1 0 1 1 1 0 1
"citizen" 1 0 0 1 0 0 1 3 0 0 0 1 0 4 1 0 0 1 1 0 1 0 0 3 0 2 0 2 1 0 3 0 0 1 1 5 0 1 1 0 4 0 2 0 1 0 0 0 3 0 2 0 0 1 1 4 1 0 0 2
